task,category,priority,due_date
Review report,Personal,Medium,2025-07-23
Pay report,Fitness,High,2025-07-02
Send presentation,Shopping,High,2025-07-30
Submit assignment,Shopping,Medium,2025-07-28
Organize email,Finance,High,2025-07-14
Read email,Finance,Medium,2025-05-20
Update resume,Personal,High,2025-06-06
Write report,Health,High,2025-06-27
Fix assignment,Work,High,2025-05-30
Send invoice,Health,Medium,2025-07-22
Attend exam,Work,Medium,2025-08-15
Complete exercise,Shopping,Medium,2025-08-05
Prepare proposal,Shopping,Medium,2025-08-02
Send exercise,Home,High,2025-05-26
Call proposal,Finance,Medium,2025-06-16
Plan exercise,Study,Medium,2025-05-25
Organize car service,Finance,Low,2025-06-29
Prepare presentation,Fitness,Medium,2025-07-11
Prepare doctor appointment,Home,Medium,2025-07-24
Schedule budget,Health,High,2025-06-15
Plan exercise,Work,Medium,2025-08-14
Plan exam,Work,Low,2025-07-14
Pay budget,Health,High,2025-06-15
Write exercise,Personal,High,2025-07-01
Read resume,Shopping,Medium,2025-08-04
Schedule resume,Home,Low,2025-08-11
Attend assignment,Fitness,Medium,2025-05-23
Pay assignment,Study,High,2025-07-07
Complete meeting,Study,Medium,2025-06-29
Complete resume,Study,High,2025-08-07
Send doctor appointment,Shopping,High,2025-06-04
Schedule assignment,Fitness,High,2025-06-08
Clean proposal,Finance,Medium,2025-07-11
Update report,Finance,Low,2025-06-09
Pay email,Personal,Low,2025-05-27
Call resume,Fitness,Low,2025-07-01
Call exercise,Personal,Low,2025-06-28
Clean email,Fitness,Medium,2025-07-05
Read resume,Work,Low,2025-07-09
Organize presentation,Shopping,High,2025-08-01
Read lecture notes,Study,High,2025-06-20
Review doctor appointment,Health,Low,2025-07-04
Fix resume,Shopping,Low,2025-05-22
Buy proposal,Work,High,2025-07-01
Fix proposal,Work,Low,2025-06-01
Schedule email,Home,Medium,2025-07-15
Pay resume,Health,Medium,2025-07-01
Research email,Study,Medium,2025-05-27
Buy assignment,Personal,High,2025-07-10
Schedule budget,Personal,High,2025-07-16
Prepare proposal,Study,High,2025-07-21
Complete email,Personal,Medium,2025-06-15
Submit meeting,Study,Low,2025-08-02
Call email,Health,Medium,2025-07-27
Read exam,Home,High,2025-06-17
Pay lecture notes,Finance,Medium,2025-07-11
Write invoice,Finance,Medium,2025-07-29
Call email,Shopping,High,2025-07-06
Call budget,Fitness,Medium,2025-05-21
Read budget,Study,High,2025-05-22
Clean proposal,Finance,High,2025-08-15
Read report,Shopping,High,2025-06-11
Send exam,Personal,Low,2025-07-29
Schedule assignment,Study,High,2025-07-10
Attend car service,Study,Medium,2025-08-13
Read lecture notes,Fitness,Medium,2025-07-30
Pay exam,Shopping,Medium,2025-07-11
Fix exercise,Finance,High,2025-07-02
Fix presentation,Fitness,Medium,2025-07-03
Attend resume,Study,Medium,2025-06-04
Pay meeting,Shopping,Low,2025-07-27
Complete proposal,Personal,High,2025-06-29
Attend invoice,Finance,Low,2025-08-17
Review exercise,Fitness,Low,2025-08-07
Submit meeting,Study,Low,2025-06-05
Write doctor appointment,Work,High,2025-06-02
Attend assignment,Home,High,2025-08-05
Send budget,Fitness,Low,2025-06-07
Submit lecture notes,Personal,Medium,2025-05-27
Pay exam,Study,Low,2025-08-15
Organize proposal,Personal,Low,2025-07-15
Complete proposal,Health,Low,2025-05-27
Schedule car service,Study,Medium,2025-06-22
Call assignment,Work,Medium,2025-05-20
Organize report,Health,High,2025-05-29
Submit resume,Fitness,Medium,2025-05-22
Attend invoice,Shopping,Low,2025-07-20
Prepare assignment,Health,Medium,2025-08-02
Attend assignment,Health,Medium,2025-06-06
Update proposal,Work,Low,2025-05-25
Clean doctor appointment,Fitness,Medium,2025-08-16
Submit doctor appointment,Finance,Low,2025-05-21
Prepare assignment,Fitness,Medium,2025-05-25
Pay resume,Study,Low,2025-06-18
Pay exercise,Finance,Medium,2025-07-16
Organize budget,Finance,High,2025-06-25
Research report,Health,High,2025-05-24
Send exercise,Home,Medium,2025-05-27
Review email,Study,High,2025-07-02
Review budget,Shopping,Medium,2025-08-08
Organize resume,Personal,Medium,2025-06-24
Fix exercise,Health,Medium,2025-06-20
Buy doctor appointment,Health,Medium,2025-07-08
Prepare lecture notes,Shopping,Medium,2025-08-17
Read email,Study,Low,2025-08-03
Send presentation,Finance,Low,2025-05-21
Organize doctor appointment,Health,High,2025-07-30
Plan assignment,Personal,Medium,2025-07-08
Write report,Personal,High,2025-06-23
Prepare exercise,Finance,Low,2025-07-10
Schedule email,Shopping,High,2025-05-27
Write presentation,Fitness,Medium,2025-08-14
Update lecture notes,Personal,Low,2025-05-22
Call doctor appointment,Personal,Low,2025-06-28
Plan invoice,Home,High,2025-06-15
Plan assignment,Fitness,Medium,2025-05-24
Complete resume,Work,High,2025-08-03
Complete exercise,Work,Low,2025-07-15
Organize exam,Shopping,High,2025-07-04
Pay exercise,Work,Low,2025-08-03
Research car service,Work,Medium,2025-07-04
Write report,Study,Low,2025-05-22
Buy doctor appointment,Finance,Medium,2025-05-23
Submit presentation,Finance,High,2025-06-30
Update exam,Home,High,2025-07-05
Organize car service,Personal,Medium,2025-05-24
Review report,Personal,Low,2025-07-14
Plan meeting,Shopping,Medium,2025-06-15
Fix lecture notes,Fitness,High,2025-07-05
Submit email,Fitness,Low,2025-08-10
Call budget,Finance,Medium,2025-05-20
Submit report,Home,Medium,2025-06-18
Schedule report,Finance,High,2025-07-20
Plan proposal,Work,Low,2025-07-22
Submit doctor appointment,Health,Low,2025-08-11
Complete email,Study,Low,2025-06-14
Schedule report,Home,Medium,2025-06-29
Fix exercise,Work,Medium,2025-06-08
Send assignment,Study,Medium,2025-07-17
Research presentation,Health,High,2025-06-11
Research report,Work,Low,2025-06-21
Schedule presentation,Fitness,Medium,2025-05-21
Organize lecture notes,Home,High,2025-06-08
Send car service,Health,Low,2025-05-25
Organize budget,Health,Low,2025-05-27
Plan lecture notes,Fitness,Low,2025-05-20
Submit invoice,Work,Medium,2025-06-20
Call resume,Fitness,High,2025-06-28
Complete exercise,Fitness,High,2025-07-05
Submit meeting,Health,High,2025-05-30
Call email,Study,High,2025-07-26
Buy exam,Fitness,High,2025-05-21
Buy resume,Finance,Medium,2025-05-24
Update exercise,Fitness,Medium,2025-07-28
Organize exam,Work,Low,2025-08-06
Update exercise,Fitness,High,2025-06-30
Call exam,Home,Medium,2025-07-06
Clean exercise,Shopping,High,2025-06-02
Update meeting,Home,Low,2025-06-22
Call doctor appointment,Fitness,High,2025-06-13
Attend proposal,Shopping,High,2025-08-16
Send exercise,Work,Medium,2025-06-22
Write lecture notes,Work,High,2025-07-26
Buy assignment,Home,Medium,2025-05-29
Plan resume,Personal,Low,2025-05-28
Schedule resume,Work,Low,2025-05-20
Review email,Work,Medium,2025-07-06
Call assignment,Work,High,2025-06-23
Schedule resume,Fitness,High,2025-08-13
Clean report,Shopping,High,2025-05-21
Research car service,Finance,Low,2025-08-16
Schedule email,Work,Medium,2025-07-08
Clean car service,Study,Low,2025-07-04
Clean proposal,Home,Medium,2025-07-26
Submit budget,Finance,High,2025-07-25
Call invoice,Fitness,High,2025-05-29
Plan presentation,Shopping,High,2025-07-10
Research meeting,Health,Low,2025-08-15
Plan exercise,Home,Low,2025-06-14
Write resume,Shopping,Low,2025-05-31
Review assignment,Shopping,Medium,2025-07-06
Call exercise,Home,Low,2025-08-16
Schedule car service,Shopping,Medium,2025-06-08
Send exercise,Study,Medium,2025-07-29
Send lecture notes,Shopping,High,2025-07-28
Complete invoice,Study,Medium,2025-07-03
Attend budget,Work,Medium,2025-06-21
Call meeting,Home,Medium,2025-07-04
Buy lecture notes,Fitness,High,2025-06-22
Submit car service,Shopping,High,2025-07-14
Schedule exercise,Fitness,Low,2025-07-09
Read meeting,Study,Medium,2025-06-16
Plan budget,Health,Medium,2025-08-07
Read presentation,Fitness,Low,2025-06-04
Plan presentation,Work,High,2025-07-14
Update doctor appointment,Shopping,High,2025-07-21
Fix car service,Health,Low,2025-06-05
Send proposal,Health,High,2025-07-01
Submit assignment,Shopping,Medium,2025-05-23
Review budget,Home,Low,2025-08-15
Plan lecture notes,Finance,Low,2025-06-30
Prepare lecture notes,Work,Low,2025-07-28
Prepare email,Study,Medium,2025-06-01
Complete presentation,Fitness,High,2025-08-03
Prepare proposal,Shopping,Low,2025-08-08
Fix resume,Study,High,2025-07-21
Complete email,Study,Low,2025-06-27
Fix exercise,Finance,High,2025-06-24
Research doctor appointment,Health,Medium,2025-05-30
Send car service,Health,Low,2025-06-26
Attend email,Work,Low,2025-07-22
Schedule meeting,Shopping,Low,2025-07-14
Research doctor appointment,Shopping,Low,2025-07-21
Call invoice,Work,Low,2025-07-17
Clean resume,Personal,Medium,2025-08-09
Prepare report,Home,Medium,2025-06-16
Send resume,Personal,High,2025-07-18
Submit assignment,Personal,Low,2025-05-28
Complete doctor appointment,Shopping,Low,2025-06-02
Clean report,Study,Low,2025-07-31
Write exam,Fitness,High,2025-06-14
Read doctor appointment,Fitness,High,2025-06-17
Organize proposal,Health,Low,2025-05-28
Organize doctor appointment,Study,Medium,2025-06-06
Attend budget,Study,Medium,2025-07-16
Read budget,Finance,Medium,2025-07-11
Plan invoice,Health,Low,2025-06-03
Fix assignment,Shopping,Low,2025-07-03
Organize proposal,Personal,Low,2025-07-23
Plan resume,Home,Low,2025-07-01
Pay proposal,Study,Low,2025-08-15
Research lecture notes,Personal,Low,2025-07-08
Buy exercise,Shopping,Medium,2025-07-08
Pay doctor appointment,Shopping,High,2025-06-11
Fix meeting,Health,Low,2025-08-03
Prepare doctor appointment,Health,Low,2025-07-18
Call assignment,Shopping,High,2025-07-20
Send exam,Study,Low,2025-05-22
Fix exercise,Health,Low,2025-06-27
Write car service,Home,Low,2025-05-29
Review email,Work,High,2025-08-15
Write exercise,Home,Medium,2025-06-08
Attend invoice,Health,Medium,2025-08-16
Clean exercise,Personal,Low,2025-07-19
Clean resume,Study,Low,2025-07-12
Submit presentation,Shopping,Low,2025-07-12
Plan report,Health,High,2025-06-25
Research proposal,Study,Low,2025-05-23
Organize report,Health,Low,2025-07-14
Write assignment,Home,Low,2025-05-31
Read invoice,Fitness,High,2025-08-03
Submit budget,Home,High,2025-08-01
Attend assignment,Personal,Low,2025-08-02
Fix car service,Fitness,Medium,2025-06-27
Organize assignment,Work,High,2025-05-27
Organize presentation,Health,Medium,2025-06-30
Prepare doctor appointment,Work,Medium,2025-08-06
Complete invoice,Personal,Medium,2025-07-11
Attend email,Fitness,Low,2025-06-25
Plan report,Shopping,Medium,2025-08-16
Pay doctor appointment,Work,High,2025-07-16
Read presentation,Health,Low,2025-06-24
Clean car service,Shopping,Medium,2025-05-31
Clean proposal,Health,Low,2025-06-17
Complete assignment,Study,Medium,2025-08-17
Call exam,Work,Medium,2025-06-29
Update exercise,Shopping,Low,2025-07-31
Buy assignment,Finance,Low,2025-08-16
Submit meeting,Personal,Medium,2025-07-10
Read proposal,Study,Medium,2025-07-19
Plan lecture notes,Fitness,Medium,2025-06-28
Update report,Personal,Medium,2025-06-15
Submit email,Study,Medium,2025-07-15
Send assignment,Health,Medium,2025-06-27
Schedule presentation,Study,High,2025-08-10
Attend meeting,Study,High,2025-07-08
Schedule exercise,Home,Low,2025-08-16
Call invoice,Finance,Medium,2025-07-17
Submit car service,Personal,Medium,2025-07-23
Schedule proposal,Fitness,Medium,2025-06-20
Read budget,Finance,High,2025-06-15
Read resume,Personal,High,2025-07-10
Review proposal,Study,Low,2025-08-04
Schedule report,Home,Low,2025-07-17
Schedule resume,Personal,Medium,2025-06-16
Organize proposal,Study,Low,2025-05-25
Call assignment,Home,Medium,2025-07-14
Complete proposal,Shopping,Low,2025-06-29
Fix lecture notes,Fitness,Medium,2025-07-29
Pay presentation,Personal,Low,2025-07-05
Prepare resume,Work,High,2025-06-12
Clean invoice,Study,High,2025-07-02
Schedule email,Fitness,Medium,2025-05-21
Research budget,Personal,Medium,2025-06-20
Schedule exercise,Work,High,2025-07-13
Research report,Study,Low,2025-07-19
Write lecture notes,Fitness,Low,2025-07-13
Read assignment,Work,Medium,2025-07-25
Fix exercise,Finance,High,2025-08-02
Buy assignment,Fitness,Low,2025-06-07
Read presentation,Fitness,High,2025-07-13
Read resume,Study,Medium,2025-08-09
Review car service,Home,Low,2025-05-22
Clean lecture notes,Work,High,2025-06-19
Organize doctor appointment,Shopping,High,2025-07-25
Read meeting,Study,Low,2025-07-06
Attend email,Finance,Low,2025-06-26
Fix email,Finance,Low,2025-07-03
Submit invoice,Finance,High,2025-07-29
Attend exercise,Health,High,2025-06-11
Update meeting,Finance,Medium,2025-08-13
Research meeting,Work,Medium,2025-07-09
Write budget,Health,Low,2025-05-31
Submit exercise,Finance,Low,2025-08-01
Complete report,Fitness,High,2025-06-10
Call lecture notes,Personal,Medium,2025-06-05
Send invoice,Finance,Low,2025-06-20
Complete assignment,Shopping,Low,2025-07-19
Research report,Finance,Low,2025-07-11
Plan lecture notes,Finance,Medium,2025-07-02
Clean lecture notes,Fitness,Low,2025-05-27
Clean resume,Work,Low,2025-06-25
Write email,Personal,Low,2025-07-18
Prepare exam,Home,Low,2025-08-07
Pay presentation,Shopping,Low,2025-05-30
Organize proposal,Study,Medium,2025-08-14
Complete meeting,Finance,Medium,2025-07-14
Buy resume,Study,Medium,2025-06-08
Call email,Study,Medium,2025-06-23
Read email,Home,Medium,2025-05-31
Research resume,Home,Medium,2025-07-16
Prepare meeting,Shopping,Low,2025-07-23
Update email,Study,Low,2025-08-09
Send assignment,Work,Medium,2025-07-21
Pay report,Study,Low,2025-08-16
Send assignment,Shopping,High,2025-07-30
Send exam,Personal,Low,2025-07-21
Prepare presentation,Work,Low,2025-06-04
Send car service,Shopping,Low,2025-07-21
Plan report,Home,Low,2025-07-20
Research lecture notes,Health,Medium,2025-08-17
Prepare presentation,Personal,Medium,2025-07-08
Clean proposal,Study,Low,2025-08-04
Write proposal,Finance,Medium,2025-07-08
Attend meeting,Shopping,High,2025-07-08
Complete car service,Work,Low,2025-08-06
Submit doctor appointment,Fitness,Low,2025-08-06
Schedule proposal,Health,Medium,2025-05-31
Pay exercise,Personal,High,2025-06-10
Read meeting,Health,Low,2025-08-12
Buy exercise,Shopping,Medium,2025-07-26
Buy assignment,Personal,Low,2025-05-29
Schedule exercise,Health,High,2025-07-13
Read car service,Fitness,Low,2025-07-30
Update presentation,Shopping,Low,2025-06-18
Update lecture notes,Work,Low,2025-05-21
Send exam,Shopping,High,2025-08-14
Schedule doctor appointment,Shopping,Medium,2025-08-11
Pay doctor appointment,Work,Low,2025-07-03
Research exam,Study,Low,2025-06-24
Read exam,Shopping,Low,2025-06-15
Update assignment,Work,Low,2025-06-08
Pay proposal,Shopping,High,2025-07-03
Submit invoice,Health,Medium,2025-06-25
Attend resume,Study,High,2025-07-18
Prepare report,Fitness,Low,2025-07-22
Fix resume,Work,Low,2025-05-30
Write meeting,Work,High,2025-07-01
Review invoice,Shopping,Medium,2025-05-31
Fix exercise,Work,Medium,2025-08-02
Call report,Personal,Medium,2025-07-20
Prepare invoice,Home,Medium,2025-06-05
Plan resume,Work,Medium,2025-07-30
Update car service,Work,Low,2025-08-16
Schedule resume,Work,High,2025-05-20
Review email,Shopping,Low,2025-07-17
Write exercise,Work,Medium,2025-08-16
Buy proposal,Study,Low,2025-07-08
Complete presentation,Finance,Medium,2025-08-11
Read car service,Work,Low,2025-08-01
Update invoice,Fitness,Low,2025-05-28
Prepare budget,Home,High,2025-08-09
Submit car service,Home,High,2025-07-25
Write exercise,Health,High,2025-06-26
Fix doctor appointment,Study,Medium,2025-07-18
Attend car service,Home,High,2025-05-23
Send car service,Personal,Medium,2025-05-31
Clean email,Fitness,Low,2025-06-27
Schedule budget,Finance,Low,2025-07-04
Prepare lecture notes,Home,Medium,2025-07-26
Pay resume,Fitness,Low,2025-06-30
Schedule lecture notes,Shopping,Low,2025-06-30
Schedule exercise,Personal,Medium,2025-07-20
Buy doctor appointment,Finance,Low,2025-05-23
Clean car service,Finance,Medium,2025-07-06
Research meeting,Fitness,Low,2025-08-11
Organize proposal,Home,High,2025-07-07
Organize assignment,Study,Medium,2025-06-12
Write lecture notes,Study,Low,2025-07-29
Complete assignment,Health,Medium,2025-07-28
Send car service,Home,Medium,2025-07-21
Clean exam,Health,High,2025-08-10
Write doctor appointment,Finance,Medium,2025-07-18
Schedule meeting,Personal,Medium,2025-08-03
Complete car service,Fitness,Medium,2025-07-04
Send exercise,Fitness,Low,2025-06-14
Research car service,Work,High,2025-06-09
Read email,Health,Low,2025-06-02
Plan lecture notes,Finance,Medium,2025-08-01
Fix resume,Shopping,Low,2025-07-28
Organize presentation,Personal,Medium,2025-06-08
Review car service,Shopping,Medium,2025-06-13
Organize car service,Home,Low,2025-07-30
Clean exam,Health,Low,2025-07-22
Schedule exam,Study,Low,2025-07-05
Complete invoice,Finance,High,2025-05-30
Prepare budget,Home,Low,2025-07-29
Read presentation,Study,High,2025-06-30
Update doctor appointment,Home,Low,2025-07-13
Pay exam,Study,Low,2025-06-02
Fix lecture notes,Personal,Medium,2025-08-09
Call exercise,Health,Low,2025-05-26
Plan assignment,Work,High,2025-05-29
Submit presentation,Personal,Low,2025-06-24
Read exam,Fitness,Medium,2025-06-14
Fix resume,Fitness,Low,2025-07-30
Organize proposal,Study,High,2025-06-29
Organize exercise,Study,Medium,2025-07-24
Clean assignment,Personal,High,2025-05-26
Research budget,Health,High,2025-05-31
Schedule budget,Home,Low,2025-07-14
Buy email,Personal,Medium,2025-07-14
Review presentation,Work,High,2025-06-02
Submit budget,Home,Medium,2025-08-17
Plan doctor appointment,Shopping,Low,2025-06-22
Prepare exam,Finance,High,2025-06-23
Prepare presentation,Personal,Low,2025-08-03
Submit lecture notes,Fitness,High,2025-06-29
Call proposal,Personal,Low,2025-06-01
Plan meeting,Fitness,Medium,2025-05-30
Organize doctor appointment,Finance,Medium,2025-08-14
Attend presentation,Work,Medium,2025-07-25
Schedule exercise,Home,Medium,2025-07-08
Submit doctor appointment,Personal,Medium,2025-06-14
Buy budget,Study,High,2025-07-22
Buy lecture notes,Study,Medium,2025-08-01
Buy proposal,Study,Low,2025-05-30
Submit doctor appointment,Work,High,2025-05-30
Review exercise,Fitness,Medium,2025-05-26
Fix report,Shopping,High,2025-07-05
Clean doctor appointment,Personal,Medium,2025-07-06
Fix doctor appointment,Home,Low,2025-06-14
Call exam,Fitness,High,2025-08-02
Research email,Fitness,High,2025-07-22
Organize report,Study,Low,2025-05-24
Attend email,Finance,High,2025-05-28
Buy presentation,Personal,Medium,2025-08-14
Submit exam,Study,High,2025-06-06
Buy lecture notes,Fitness,Medium,2025-07-22
Pay report,Finance,High,2025-08-06
Fix presentation,Health,High,2025-08-13
Call exam,Health,High,2025-06-23
Read resume,Personal,Medium,2025-07-08
Fix doctor appointment,Home,Low,2025-07-12
Update meeting,Home,Low,2025-05-26
Call exercise,Work,Low,2025-07-07
Call assignment,Health,Low,2025-08-15
Clean invoice,Study,Medium,2025-07-22
Organize exam,Work,High,2025-07-27
Update resume,Work,High,2025-08-08
Submit car service,Health,Medium,2025-06-21
Buy report,Home,Low,2025-05-27
Schedule presentation,Work,Medium,2025-06-25
Send report,Study,High,2025-07-10
Write doctor appointment,Health,Low,2025-06-28
Submit exercise,Finance,Medium,2025-06-03
Pay doctor appointment,Home,High,2025-06-27
Submit car service,Finance,High,2025-06-09
Read invoice,Home,Medium,2025-07-26
Organize assignment,Health,Medium,2025-06-17
Write exercise,Shopping,High,2025-06-03
Clean assignment,Work,Low,2025-06-05
Fix presentation,Home,High,2025-06-05
Schedule exercise,Shopping,Medium,2025-08-10
Schedule resume,Health,High,2025-05-31
Pay presentation,Study,Medium,2025-06-05
Call lecture notes,Home,High,2025-06-06
Prepare assignment,Finance,High,2025-05-30
Send lecture notes,Shopping,Low,2025-05-21
Attend car service,Health,Low,2025-06-17
Clean lecture notes,Work,Medium,2025-06-19
Write invoice,Finance,Low,2025-06-17
Fix presentation,Health,Low,2025-06-16
Buy car service,Fitness,Medium,2025-05-26
Plan exercise,Fitness,Medium,2025-07-28
Research invoice,Shopping,Low,2025-06-17
Write doctor appointment,Health,Low,2025-08-04
Attend resume,Home,High,2025-08-04
Buy report,Shopping,Low,2025-07-08
Organize meeting,Personal,Medium,2025-07-12
Fix proposal,Study,Medium,2025-07-21
Update budget,Shopping,Medium,2025-06-23
Review car service,Personal,High,2025-08-12
Buy exam,Personal,High,2025-07-09
Read budget,Personal,Medium,2025-06-17
Write proposal,Finance,Low,2025-07-12
Send doctor appointment,Shopping,Low,2025-08-17
Read exam,Shopping,Medium,2025-06-12
Research proposal,Shopping,High,2025-06-24
Submit assignment,Study,Low,2025-07-29
Buy meeting,Health,Medium,2025-08-04
Complete proposal,Shopping,Medium,2025-05-23
Read proposal,Shopping,Medium,2025-06-01
Fix proposal,Health,High,2025-06-11
Update meeting,Finance,Medium,2025-05-22
Send lecture notes,Personal,High,2025-07-24
Pay doctor appointment,Fitness,Low,2025-06-26
Read email,Study,High,2025-06-20
Research exam,Finance,High,2025-07-09
Call email,Work,Medium,2025-07-17
Pay email,Fitness,Low,2025-06-21
Call exam,Fitness,Low,2025-08-08
Complete car service,Work,Medium,2025-06-17
Buy budget,Shopping,High,2025-08-17
Write exercise,Finance,Low,2025-06-18
Schedule lecture notes,Shopping,Low,2025-06-12
Complete presentation,Home,Low,2025-07-29
Update lecture notes,Home,Low,2025-06-12
Call budget,Health,Low,2025-06-30
Plan proposal,Study,Medium,2025-06-27
Buy resume,Study,Low,2025-05-31
Read email,Personal,Low,2025-07-10
Plan exam,Study,Medium,2025-06-26
Review exercise,Study,High,2025-06-01
Pay proposal,Work,Medium,2025-06-15
Organize email,Study,High,2025-05-26
Send exam,Personal,High,2025-06-07
Send email,Work,High,2025-07-05
Clean exam,Health,Low,2025-07-30
Attend exercise,Shopping,High,2025-07-01
Schedule budget,Finance,High,2025-08-11
Research proposal,Work,Low,2025-07-11
Research lecture notes,Personal,Low,2025-07-03
Send meeting,Study,Low,2025-06-25
Write meeting,Home,High,2025-06-16
Submit invoice,Study,High,2025-06-21
Research exam,Fitness,High,2025-06-06
Send budget,Shopping,Medium,2025-06-16
Call resume,Work,Medium,2025-05-27
Submit car service,Personal,High,2025-05-29
Review car service,Work,High,2025-06-19
Organize resume,Fitness,High,2025-07-14
Plan car service,Home,High,2025-07-03
Review lecture notes,Health,Low,2025-06-30
Clean report,Study,High,2025-07-26
Organize proposal,Shopping,Low,2025-05-21
Send lecture notes,Finance,Low,2025-05-20
Complete meeting,Study,Low,2025-08-04
Fix report,Home,Medium,2025-07-26
Complete invoice,Shopping,Medium,2025-07-22
Organize assignment,Finance,Low,2025-08-05
Schedule budget,Study,High,2025-07-19
Read report,Work,Low,2025-07-07
Update email,Work,Low,2025-07-15
Plan email,Shopping,High,2025-07-25
Schedule exercise,Home,High,2025-08-12
Write presentation,Study,Medium,2025-08-07
Submit report,Finance,Medium,2025-07-30
Prepare lecture notes,Personal,Medium,2025-08-13
Submit doctor appointment,Personal,High,2025-07-16
Complete doctor appointment,Work,Medium,2025-07-01
Buy budget,Health,Low,2025-06-08
Clean meeting,Work,Medium,2025-07-19
Buy meeting,Study,High,2025-05-30
Write doctor appointment,Shopping,Low,2025-06-13
Buy meeting,Home,Low,2025-07-18
Organize proposal,Finance,Medium,2025-06-30
Pay exam,Study,Low,2025-07-29
Pay lecture notes,Home,Low,2025-05-26
Submit email,Personal,Low,2025-07-30
Complete presentation,Study,High,2025-07-26
Schedule assignment,Study,Low,2025-06-23
Schedule resume,Personal,Medium,2025-05-25
Schedule resume,Finance,Medium,2025-07-18
Fix exercise,Health,Low,2025-06-22
Update doctor appointment,Health,Low,2025-06-24
Plan assignment,Shopping,Low,2025-06-05
Buy budget,Fitness,Low,2025-07-07
Update meeting,Health,Low,2025-06-15
Complete car service,Study,Medium,2025-07-17
Attend lecture notes,Fitness,High,2025-06-15
Pay assignment,Work,High,2025-07-15
Plan assignment,Study,High,2025-07-14
Fix resume,Finance,Medium,2025-07-06
Research report,Health,Low,2025-05-23
Review presentation,Work,Medium,2025-06-11
Fix report,Shopping,High,2025-08-15
Pay proposal,Work,High,2025-06-12
Fix report,Study,Medium,2025-06-25
Send report,Fitness,Medium,2025-07-17
Attend doctor appointment,Work,High,2025-07-19
Buy report,Fitness,Medium,2025-07-30
Send assignment,Personal,High,2025-05-22
Schedule lecture notes,Shopping,Low,2025-07-30
Submit resume,Shopping,High,2025-06-25
Send report,Study,Medium,2025-08-10
Attend meeting,Health,Low,2025-06-23
Update assignment,Study,Low,2025-08-13
Buy lecture notes,Home,High,2025-07-26
